,@_fa,load-date,link,dc:identifier,prism:url,dc:title,dc:creator,prism:publicationName,prism:volume,prism:coverDate,prism:startingPage,prism:doi,openaccess,pii,authors,prism:endingPage
1,true,2020-06-07T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2214629620302127'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2214629620302127?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.erss.2020.101637,https://api.elsevier.com/content/article/pii/S2214629620302127,"Between users, functions, and evaluations: Exploring the social acceptance of smart energy homes in China",Weiyu Ji,Energy Research & Social Science,69,2020-11-30,101637,10.1016/j.erss.2020.101637,False,S2214629620302127,"{'author': [{'$': 'Weiyu Ji'}, {'$': 'Edwin H. W. Chan'}]}",
2,true,2021-09-08T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S266729522100026X'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S266729522100026X?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.hcc.2021.100036,https://api.elsevier.com/content/article/pii/S266729522100026X,Access control and surveillance in a smart home,Cristina Stolojescu-Crisan,High-Confidence Computing,2,2022-03-31,100036,10.1016/j.hcc.2021.100036,True,S266729522100026X,"{'author': [{'$': 'Cristina Stolojescu-Crisan'}, {'$': 'Calin Crisan'}, {'$': 'Bogdan-Petru Butunoi'}]}",
3,true,2021-07-28T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0736585321001283'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0736585321001283?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.tele.2021.101689,https://api.elsevier.com/content/article/pii/S0736585321001283,Users’ Preferences for Smart Home Automation – Investigating Aspects of Privacy and Trust,Eva-Maria Schomakers,Telematics and Informatics,64,2021-11-30,101689,10.1016/j.tele.2021.101689,False,S0736585321001283,"{'author': [{'$': 'Eva-Maria Schomakers'}, {'$': 'Hannah Biermann'}, {'$': 'Martina Ziefle'}]}",
4,true,2020-11-10T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0306261920315555'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0306261920315555?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.apenergy.2020.116145,https://api.elsevier.com/content/article/pii/S0306261920315555,An Artificial Intelligence based scheduling algorithm for demand-side energy management in Smart Homes,Helder R. O. Rocha,Applied Energy,282,2021-01-15,116145,10.1016/j.apenergy.2020.116145,False,S0306261920315555,"{'author': [{'$': 'Helder R. O. Rocha'}, {'$': 'Icaro H. Honorato'}, {'$': 'Jair A. L. Silva'}]}",
5,true,2020-05-24T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0928765519303227'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0928765519303227?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.reseneeco.2020.101175,https://api.elsevier.com/content/article/pii/S0928765519303227,Flexible customer willingness to pay for bundled smart home energy products and services,Ricardo A. Daziano,Resource and Energy Economics,61,2020-08-31,101175,10.1016/j.reseneeco.2020.101175,False,S0928765519303227,{'author': 'Ricardo A. Daziano'},
6,true,2021-07-30T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S016740482100242X'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S016740482100242X?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.cose.2021.102418,https://api.elsevier.com/content/article/pii/S016740482100242X,Cyber-enabled burglary of smart homes,Duncan Hodges,Computers & Security,110,2021-11-30,102418,10.1016/j.cose.2021.102418,False,S016740482100242X,{'author': 'Duncan Hodges'},
7,true,2021-03-25T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2214629621001146'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2214629621001146?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.erss.2021.102021,https://api.elsevier.com/content/article/pii/S2214629621001146,"Dumber energy at home please: Perceptions of smart energy technologies are dependent on home, workplace, or policy context in the United Kingdom",Alexa Spence,Energy Research & Social Science,75,2021-05-31,102021,10.1016/j.erss.2021.102021,True,S2214629621001146,"{'author': [{'$': 'Alexa Spence'}, {'$': 'Caroline Leygue'}, {'$': 'Jamie K. Wardman'}]}",
8,true,2020-03-13T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S037877881931535X'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S037877881931535X?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.enbuild.2020.109955,https://api.elsevier.com/content/article/pii/S037877881931535X,Analysis methods for characterizing energy saving opportunities from home automation devices using smart meter data,Sukjoon Oh,Energy and Buildings,216,2020-06-01,109955,10.1016/j.enbuild.2020.109955,False,S037877881931535X,"{'author': [{'$': 'Sukjoon Oh'}, {'$': 'Jeff S. Haberl'}, {'$': 'Juan-Carlos Baltazar'}]}",
9,true,2021-02-08T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2352152X21001183'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2352152X21001183?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.est.2021.102358,https://api.elsevier.com/content/article/pii/S2352152X21001183,Robust Optimization of the Flexibility-constrained Energy Management Problem for a Smart Home with Rooftop Photovoltaic and an Energy Storage,S. Bahramara,Journal of Energy Storage,36,2021-04-30,102358,10.1016/j.est.2021.102358,False,S2352152X21001183,{'author': 'S. Bahramara'},
10,true,2021-02-14T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0141933121002623'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0141933121002623?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.micpro.2021.104094,https://api.elsevier.com/content/article/pii/S0141933121002623,Emotional Design of Smart Home in Interior Decoration Based on The Internet of Things,Zhe Hu,Microprocessors and Microsystems,,2021-02-14,104094,10.1016/j.micpro.2021.104094,False,S0141933121002623,"{'author': [{'$': 'Zhe Hu'}, {'$': 'Kexin Chen'}]}",
