,@_fa,load-date,link,dc:identifier,prism:url,dc:title,dc:creator,prism:publicationName,prism:volume,prism:coverDate,prism:startingPage,prism:doi,openaccess,pii,authors,prism:endingPage
6,true,2020-09-06T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0743731520303609'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0743731520303609?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.jpdc.2020.08.012,https://api.elsevier.com/content/article/pii/S0743731520303609,Achieving efficient and Privacy-preserving energy trading based on blockchain and ABE in smart grid,Zhitao Guan,Journal of Parallel and Distributed Computing,147,2021-01-31,34,10.1016/j.jpdc.2020.08.012,False,S0743731520303609,"{'author': [{'$': 'Zhitao Guan'}, {'$': 'Xin Lu'}, {'$': 'Zijian Zhang'}]}",45
7,true,2018-10-23T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0167739X18306009'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0167739X18306009?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.future.2018.10.007,https://api.elsevier.com/content/article/pii/S0167739X18306009,Smart heating in collaborative and reasoning-enabled housing units,P. Bourelos,Future Generation Computer Systems,109,2020-08-31,644,10.1016/j.future.2018.10.007,True,S0167739X18306009,"{'author': [{'$': 'P. Bourelos'}, {'$': 'G. Kousiouris'}, {'$': 'V. Moulos'}]}",656
8,true,2020-11-13T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/B9780128196649000077'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/B9780128196649000077?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/B978-0-12-819664-9.00007-7,https://api.elsevier.com/content/article/pii/B9780128196649000077,Chapter 7: IoT-based location-aware smart healthcare framework with user mobility support in normal and emergency scenario: a comprehensive survey,Riddhi Kumari Bhadoria,Healthcare Paradigms in the Internet of Things Ecosystem,,2021-12-31,137,10.1016/B978-0-12-819664-9.00007-7,False,B9780128196649000077,"{'author': [{'$': 'Riddhi Kumari Bhadoria'}, {'$': 'Jayita Saha'}, {'$': 'Chandreyee Chowdhury'}]}",161
9,true,2016-02-14T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0926580516000030'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0926580516000030?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.autcon.2016.01.002,https://api.elsevier.com/content/article/pii/S0926580516000030,Smart grid data analytics framework for increasing energy savings in residential buildings,Jui-Sheng Chou,Automation in Construction,72,2016-12-31,247,10.1016/j.autcon.2016.01.002,False,S0926580516000030,"{'author': [{'$': 'Jui-Sheng Chou'}, {'$': 'Ngoc-Tri Ngo'}]}",257
10,true,2021-03-25T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2095311921636377'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2095311921636377?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/S2095-3119(21)63637-7,https://api.elsevier.com/content/article/pii/S2095311921636377,Impact of climate-smart agricultural technology on multidimensional poverty in rural Ethiopia,Tsegaye Mulugeta HABTEWOLD,Journal of Integrative Agriculture,20,2021-04-30,1021,10.1016/S2095-3119(21)63637-7,True,S2095311921636377,{'author': 'Tsegaye Mulugeta HABTEWOLD'},1041
11,true,2014-11-28T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0048969714016040'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0048969714016040?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.scitotenv.2014.11.022,https://api.elsevier.com/content/article/pii/S0048969714016040,Integrating smart-phone based momentary location tracking with fixed site air quality monitoring for personal exposure assessment,Jason G. Su,Science of The Total Environment,506–507,2015-02-15,518,10.1016/j.scitotenv.2014.11.022,False,S0048969714016040,"{'author': [{'$': 'Jason G. Su'}, {'$': 'Michael Jerrett'}, {'$': 'Beate Ritz'}]}",526
12,true,2020-12-23T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0360835220307506'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0360835220307506?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.cie.2020.107080,https://api.elsevier.com/content/article/pii/S0360835220307506,Optimizing ride-sharing operations in smart sustainable cities: Challenges and the need for agile algorithms,Leandro do C. Martins,Computers & Industrial Engineering,153,2021-03-31,107080,10.1016/j.cie.2020.107080,False,S0360835220307506,"{'author': [{'$': 'Leandro do C. Martins'}, {'$': 'Rocio de la Torre'}, {'$': 'Mohamed A. Masmoudi'}]}",
13,true,2018-09-26T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2542660518300647'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2542660518300647?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.iot.2018.09.007,https://api.elsevier.com/content/article/pii/S2542660518300647,IoT-based human action prediction and support,Gabriel Machado Lunardi,Internet of Things,3–4,2018-10-31,52,10.1016/j.iot.2018.09.007,False,S2542660518300647,"{'author': [{'$': 'Gabriel Machado Lunardi'}, {'$': 'Fadi Al Machot'}, {'$': 'José Palazzo M. de Oliveira'}]}",68
14,true,2021-01-21T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0045790620307953'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0045790620307953?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.compeleceng.2020.106949,https://api.elsevier.com/content/article/pii/S0045790620307953,Context-aware and dynamically adaptable activity recognition with smart watches: A case study on smoking,Sumeyye Agac,Computers & Electrical Engineering,90,2021-03-31,106949,10.1016/j.compeleceng.2020.106949,False,S0045790620307953,"{'author': [{'$': 'Sumeyye Agac'}, {'$': 'Muhammad Shoaib'}, {'$': 'Ozlem Durmaz Incel'}]}",
15,true,2016-12-10T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2214367X16300588'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2214367X16300588?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.tbs.2016.11.005,https://api.elsevier.com/content/article/pii/S2214367X16300588,Inferring weekly primary activity patterns using public transport smart card data and a household travel survey,Sergio Arturo Ordóñez Medina,Travel Behaviour and Society,12,2018-07-31,93,10.1016/j.tbs.2016.11.005,False,S2214367X16300588,{'author': 'Sergio Arturo Ordóñez Medina'},101
