,@_fa,load-date,link,dc:identifier,prism:url,dc:title,dc:creator,prism:publicationName,prism:volume,prism:coverDate,prism:startingPage,prism:endingPage,prism:doi,openaccess,pii,authors
20,true,2018-09-06T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2405896318315969'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2405896318315969?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.ifacol.2018.08.468,https://api.elsevier.com/content/article/pii/S2405896318315969,Energy efficient scheduling problems under Time-Of-Use tariffs with different energy consumption of the jobs,Mohammad Mohsen Aghelinejad,IFAC-PapersOnLine,51,2018-12-31,1053,1058,10.1016/j.ifacol.2018.08.468,False,S2405896318315969,"{'author': [{'$': 'Mohammad Mohsen Aghelinejad'}, {'$': 'Yassine Ouazene'}, {'$': 'Alice Yalaoui'}]}"
21,true,2019-03-15T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S1876610219308203'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S1876610219308203?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.egypro.2019.01.782,https://api.elsevier.com/content/article/pii/S1876610219308203,Performance analysis of diabatic compressed air energy storage (D-CAES) system,Jianjun Zhang,Energy Procedia,158,2019-02-28,4369,4374,10.1016/j.egypro.2019.01.782,True,S1876610219308203,"{'author': [{'$': 'Jianjun Zhang'}, {'$': 'Shengni Zhou'}, {'$': 'Ziping Feng'}]}"
22,true,2019-09-13T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S1877050919309275'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S1877050919309275?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.procs.2019.08.013,https://api.elsevier.com/content/article/pii/S1877050919309275,The Choice Of The Optimal Energy-Saving Technology Redundant Power Steam Turbines During The Passage Of The Daily Schedules Of Power Consumption Gaps,E. K. Arakelyan,Procedia Computer Science,155,2019-12-31,69,74,10.1016/j.procs.2019.08.013,True,S1877050919309275,"{'author': [{'$': 'E. K. Arakelyan'}, {'$': 'A. V. Andryushin'}, {'$': 'A. A. Kosoy'}]}"
23,true,2019-03-12T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S1876610219312810'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S1876610219312810?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.egypro.2019.02.191,https://api.elsevier.com/content/article/pii/S1876610219312810,Optimization of turbulent air jet impingement for energy efficient commercial cooking,Shantanu Shevade,Energy Procedia,160,2019-02-28,691,698,10.1016/j.egypro.2019.02.191,True,S1876610219312810,"{'author': [{'$': 'Shantanu Shevade'}, {'$': 'Muhammad Rahman'}, {'$': 'Rasim Guldiken'}]}"
24,true,2003-06-28T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0168644503000676'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0168644503000676?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/S0168-6445(03)00067-6,https://api.elsevier.com/content/article/pii/S0168644503000676,Ammonium assimilation and nitrogen control in <ce:italic>Corynebacterium glutamicum</ce:italic> and its relatives: an example for new regulatory mechanisms in actinomycetes,Andreas Burkovski,FEMS Microbiology Reviews,27,2003-12-31,617,628,10.1016/S0168-6445(03)00067-6,False,S0168644503000676,{'author': 'Andreas Burkovski'}
0,true,2021-05-26T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2405896321002895'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2405896321002895?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.ifacol.2021.04.153,https://api.elsevier.com/content/article/pii/S2405896321002895,Optimal Energy Management System Design Based on Dynamic Programming for Battery Electric Vehicles,Xiangyang Xu,IFAC-PapersOnLine,53,2020-12-31,634,637,10.1016/j.ifacol.2021.04.153,False,S2405896321002895,"{'author': [{'$': 'Xiangyang Xu'}, {'$': 'Guangyuan Li'}, {'$': 'Hui Zhang'}]}"
1,true,2021-04-14T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2405896320304213'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2405896320304213?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.ifacol.2020.12.160,https://api.elsevier.com/content/article/pii/S2405896320304213,<ce:italic>Maestro:</ce:italic> A Python library for multi-carrier energy district optimal control design,Tomasz T. Gorecki,IFAC-PapersOnLine,53,2020-12-31,13293,13298,10.1016/j.ifacol.2020.12.160,False,S2405896320304213,"{'author': [{'$': 'Tomasz T. Gorecki'}, {'$': 'William Martin'}]}"
2,true,2021-04-14T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2405896320314452'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2405896320314452?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.ifacol.2020.12.1073,https://api.elsevier.com/content/article/pii/S2405896320314452,Optimal Control of Distributed Energy Generation & Storages for Flexibility Provision on the Residential Level,B. Wille-Haussmann,IFAC-PapersOnLine,53,2020-12-31,12189,12194,10.1016/j.ifacol.2020.12.1073,False,S2405896320314452,"{'author': [{'$': 'B. Wille-Haussmann'}, {'$': 'Oliver Selinger-Lutz'}]}"
3,true,2018-11-23T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2405896318328829'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2405896318328829?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.ifacol.2018.11.214,https://api.elsevier.com/content/article/pii/S2405896318328829,Sustainability And Efficiency of Azerbaijan Energy Performance and the Potentials of their Improvement,V. Nasibov,IFAC-PapersOnLine,51,2018-12-31,575,579,10.1016/j.ifacol.2018.11.214,False,S2405896318328829,{'author': 'V. Nasibov'}
4,true,2012-04-16T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S1002072112600222'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S1002072112600222?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/S1002-0721(12)60022-2,https://api.elsevier.com/content/article/pii/S1002072112600222,"Energy transfer in Tb<ce:sup loc=post>3+</ce:sup>,Yb<ce:sup loc=post>3+</ce:sup> codoped Lu<ce:inf loc=post>2</ce:inf>O<ce:inf loc=post>3</ce:inf> near-infrared downconversion nanophosphors",Li LI,Journal of Rare Earths,30,2012-03-31,197,201,10.1016/S1002-0721(12)60022-2,False,S1002072112600222,"{'author': [{'$': 'Li LI'}, {'$': 'Xiantao WEI'}, {'$': 'Min YIN'}]}"
