,@_fa,load-date,link,dc:identifier,prism:url,dc:title,dc:creator,prism:publicationName,prism:coverDate,prism:doi,openaccess,pii,authors,prism:volume,prism:startingPage,prism:endingPage
24,true,2018-05-07T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0033838918300228'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0033838918300228?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.rcl.2018.03.008,https://api.elsevier.com/content/article/pii/S0033838918300228,Dual-Energy Computed Tomography: Technology and Challenges,Bernhard Krauss,Radiologic Clinics of North America,2018-07-31,10.1016/j.rcl.2018.03.008,False,S0033838918300228,{'author': 'Bernhard Krauss'},56,497,506
0,true,2018-05-07T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0033838918300228'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0033838918300228?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.rcl.2018.03.008,https://api.elsevier.com/content/article/pii/S0033838918300228,Dual-Energy Computed Tomography: Technology and Challenges,Bernhard Krauss,Radiologic Clinics of North America,2018-07-31,10.1016/j.rcl.2018.03.008,False,S0033838918300228,{'author': 'Bernhard Krauss'},56,497,506
1,true,2020-08-02T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0009250920305455'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0009250920305455?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.ces.2020.116013,https://api.elsevier.com/content/article/pii/S0009250920305455,Introducing an artificial neural network energy minimization multi-scale drag scheme for fluidized particles,Aristeidis Nikolopoulos,Chemical Engineering Science,2021-01-16,10.1016/j.ces.2020.116013,False,S0009250920305455,"{'author': [{'$': 'Aristeidis Nikolopoulos'}, {'$': 'Christos Samlis'}, {'$': 'Panagiotis Grammelis'}]}",229,116013,
2,true,2020-11-27T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/B9780128233467000074'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/B9780128233467000074?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/B978-0-12-823346-7.00007-4,https://api.elsevier.com/content/article/pii/B9780128233467000074,Chapter 10: E-STATCOM (energy storage<ce:hsp sp=0.25></ce:hsp>+<ce:hsp sp=0.25></ce:hsp>STATCOM): a solution to integrate large-scale wind farms into the grid at medium and high power levels,Anil Bharadwaj,Power Quality in Modern Power Systems,2021-12-31,10.1016/B978-0-12-823346-7.00007-4,False,B9780128233467000074,"{'author': [{'$': 'Anil Bharadwaj'}, {'$': 'Suman Maiti'}, {'$': 'Sreekesh K. Pillai'}]}",,283,310
3,true,2018-02-04T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0038092X18300811'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0038092X18300811?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.solener.2018.01.060,https://api.elsevier.com/content/article/pii/S0038092X18300811,A novelty for thermal energy storage utilizing the principle of solid to solid phase change in a lithium sulfate at elevated temperatures,Amer Khalil Ababneh,Solar Energy,2018-03-15,10.1016/j.solener.2018.01.060,False,S0038092X18300811,"{'author': [{'$': 'Amer Khalil Ababneh'}, {'$': 'Amjad S. Hijazin'}, {'$': 'Ali M. Jawarneh'}]}",163,45,53
4,true,2020-09-25T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/B9780128212219000098'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/B9780128212219000098?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/B978-0-12-821221-9.00009-8,https://api.elsevier.com/content/article/pii/B9780128212219000098,Chapter 9: Energy management techniques to enhance DC-bus voltage transient stability and power balancing issues for islanded DC microgrids,Subarto Kumar Ghosh,Advances in Clean Energy Technologies,2021-12-31,10.1016/B978-0-12-821221-9.00009-8,False,B9780128212219000098,"{'author': [{'$': 'Subarto Kumar Ghosh'}, {'$': 'Tushar Kanti Roy'}, {'$': 'Md. Sawkat Ali'}]}",,349,375
5,true,2020-09-24T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0142061520311078'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0142061520311078?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.ijepes.2020.106493,https://api.elsevier.com/content/article/pii/S0142061520311078,Location-dependent distributed control of battery energy storage systems for fast frequency response,Tianqiao Zhao,International Journal of Electrical Power & Energy Systems,2021-02-28,10.1016/j.ijepes.2020.106493,False,S0142061520311078,"{'author': [{'$': 'Tianqiao Zhao'}, {'$': 'Alessandra Parisio'}, {'$': 'Jovica V. Milanović'}]}",125,106493,
6,true,2019-12-20T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0022407319308167'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0022407319308167?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.jqsrt.2019.106809,https://api.elsevier.com/content/article/pii/S0022407319308167,Laser spectroscopic investigation of atomic holmium in the wavelength range from 780 nm to 830 nm: Hyperfine structure measurements and a new energy level,Gö Başar,Journal of Quantitative Spectroscopy and Radiative Transfer,2020-03-31,10.1016/j.jqsrt.2019.106809,False,S0022407319308167,"{'author': [{'$': 'Gö Başar'}, {'$': 'Gü Başar'}, {'$': 'S. Kröger'}]}",243,106809,
7,true,2020-11-13T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/B9780128192405000134'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/B9780128192405000134?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/B978-0-12-819240-5.00013-4,https://api.elsevier.com/content/article/pii/B9780128192405000134,Chapter 13: Biopolymer composites in supercapacitor and energy storage devices,Subramani Sundharamurthi,Biopolymers and their Industrial Applications,2021-12-31,10.1016/B978-0-12-819240-5.00013-4,False,B9780128192405000134,"{'author': [{'$': 'Subramani Sundharamurthi'}, {'$': 'T. R. Sreeraj'}, {'$': 'Sreeraj Gopi'}]}",,305,329
8,true,2018-05-25T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/B978012811479700021X'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/B978012811479700021X?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/B978-0-12-811479-7.00021-X,https://api.elsevier.com/content/article/pii/B978012811479700021X,21: Energy Return on Energy Invested (EROI) and Energy Payback Time (EPBT) for PVs,Ajay Gupta,A Comprehensive Guide to Solar Energy Systems,2018-12-31,10.1016/B978-0-12-811479-7.00021-X,False,B978012811479700021X,{'author': 'Ajay Gupta'},,407,425
